artist1,artist2,dice_coefficient,pages,paragraphs,volume
"Bandinelli, Baccio (Baccio de' Brandini)","Viviano, Michelagnolo di",0.07692307692307693,"[56, 73]","['66', '90']","['6', '6']"
"Vinci, Leonardo da",Salai,0.07407407407407407,[99],['124'],['3']
"Vinci, Leonardo da","Credi, Maestro",0.07407407407407407,[49],['61'],['4']
"Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)","Genga, Girolamo",0.07142857142857142,[199],['264'],['6']
"Urbino, Bramante da","Dï¿½rer, Albrecht",0.07142857142857142,[232],['319'],['3']
"Mazzuoli, Francesco (Parmigiano)","Beccafumi, Domenico (Domenico di Pace)",0.07142857142857142,[108],['183'],['5']
"Vaga, Perino del (Perino Buonaccorsi, or de' Ceri)","Rosso, Il (Giovan Battista de' Rossi)",0.07142857142857142,"[258, 259]","['382', '385']","['5', '5']"
"Buonarroti, Michelagnolo","San Gallo, Giuliano da",0.06779661016949153,"[145, 201]","['189', '271']","['3', '3']"
"Buonarroti, Michelagnolo","Urbino, Bramante da",0.06666666666666667,"[223, 145]","['303', '189']","['3', '3']"
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","Verrocchio, Andrea",0.06451612903225806,[270],['401'],['2']
Donato (Donatello),Simone (brother of Donatello),0.06451612903225806,[251],['278'],['1']
Donato (Donatello),"Padova, Vellano da",0.06451612903225806,[74],['108'],['2']
Donato (Donatello),"Tasso, Battista del",0.06451612903225806,[30],['37'],['6']
"Lippi, Fra Filippo","Vinci, Leonardo da",0.06451612903225806,[57],['68'],['6']
"Sanzio, Raffaello (Raffaello da Urbino)","San Gallo, Giuliano da",0.06451612903225806,"[201, 126, 6]","['271', '210', '8']","['3', '5', '5']"
